Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~KNOCKLET_BRAC.PrjPcb|ReportField=ProjectFullPath~C:\Users\Administrateur.NB-FABLAB1\Desktop\Nicolas LAW\KNOCKLET_BRAC\KNOCKLET_BRAC.PrjPcb|ReportField=Title~Bill of Materials For Project [KNOCKLET_BRAC.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~36|ReportField=ReportTime~18:41:16|ReportField=ReportDate~26/01/2017|ReportField=ReportDateTime~26/01/2017 18:41:16|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~26/01/2017|ReportField=CurrentTime~18:40:24|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Administrateur.NB-FABLAB1\Desktop\Nicolas LAW\KNOCKLET_BRAC\Copy of MCU_64.SchDoc|ReportField=DocumentName~Copy of MCU_64.SchDoc|ReportField=DocumentNumber~MB1136|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~26/01/2017|ReportField=Organization~|ReportField=Project~NUCLEO-XXXXRX|ReportField=ProjectName~KNOCKLET_BRAC.PrjPcb|ReportField=Revision~C.3|ReportField=Rule~|ReportField=SheetNumber~2|ReportField=SheetTotal~3|ReportField=Time~|ReportField=Title~MCU|ReportField=DataSourceFileName~KNOCKLET_BRAC.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Administrateur.NB-FABLAB1\Desktop\Nicolas LAW\KNOCKLET_BRAC\KNOCKLET_BRAC.PrjPcb|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|SW-PB|Switch|B1|SPST-2|SW-PB|1
2|4.7uF|Capacitor,4.7uF,25V, X7R,10%,1206,YAGEO|C1|TAN-A|Cap_2.2uF_X7R_10%_0805|1
3|Cap|Capacitor|C2, C3, C4, C5, C8, C9, C10, C14, C15, C16, C17, C18|0603[IMP]-CAP|Cap|12
4|10uF(25V)|Polarized Capacitor (Radial)|C6|TAN-B|Cap Pol1|1
5|10uF|Polarized Capacitor (Radial)|C7|TAN-A|Cap Pol1|1
6|2.2uF|Capacitor,2.2uF,16V, X7R,10%,0805,YAGEO|C11, C13|TAN-A|Cap_2.2uF_X7R_10%_0805|2
7||Schottky Diode|D1|SMB|D Schottky|1
8||Inductor|L1|0603[IMP]-CAP|Inductor|1
9|Header 6|Header, 6-Pin|P2|HDR1X6|Header 6|1
10|Res1|Resistor|R1, R2, R3, R4, R5, R6, R7, R9, R10, R11|0603[IMP]-RES|Res1|10
11|MCU_LQFP64||U1|LQFP64|MCU_LQFP64|1
12|SPBTLE-RF|Module BlueNRG|U2|SPBTLE-RF|SPBTLE-RF|1
13|LD1117S50TR||U3|SOT223_N|LD1117|1
14|MMA8452QT||U4|MMA8452QT|MMA8452QT|1
15|32.768K[N/A]||X1|Quartz_ABS25|MC306|1
